primary_code,domicile_id,asset_universe,,
40111533,USA,Exchange Traded Funds,,
40111534,USA,Exchange Traded Funds,,
40111535,USA,Exchange Traded Funds,,
40111536,USA,Exchange Traded Funds,,
40111538,USA,Exchange Traded Funds,,
40111542,USA,Exchange Traded Funds,,
40111545,USA,Exchange Traded Funds,,
40111546,USA,Exchange Traded Funds,,
40111547,USA,Exchange Traded Funds,,
40111549,USA,Exchange Traded Funds,,
40111550,USA,Exchange Traded Funds,,
40111890,USA,Mutual Funds,,
40111945,USA,Exchange Traded Funds,,
40111946,USA,Exchange Traded Funds,,
40111947,USA,Exchange Traded Funds,,
40111948,USA,Exchange Traded Funds,,
40111949,USA,Exchange Traded Funds,,
40111950,USA,Exchange Traded Funds,,
40111951,USA,Exchange Traded Funds,,
40111952,USA,Exchange Traded Funds,,
40111953,USA,Exchange Traded Funds,,
40112082,USA,Exchange Traded Funds,,
40112083,USA,Exchange Traded Funds,,
40112084,USA,Exchange Traded Funds,,
40112085,USA,Exchange Traded Funds,,
40112145,USA,Mutual Funds,,
40112523,USA,Exchange Traded Funds,,
40112594,USA,Exchange Traded Funds,,
40112704,USA,Mutual Funds,,
40112791,USA,Exchange Traded Funds,,
40112793,USA,Exchange Traded Funds,,
40112794,USA,Exchange Traded Funds,,
40001635,USA,Mutual Funds,,
40113177,USA,Exchange Traded Funds,,
40113178,USA,Exchange Traded Funds,,
40113263,USA,Mutual Funds,,
40113267,USA,Mutual Funds,,
40113388,USA,Exchange Traded Funds,,
40113389,USA,Exchange Traded Funds,,
40113390,USA,Exchange Traded Funds,,
40113391,USA,Exchange Traded Funds,,
40113392,USA,Exchange Traded Funds,,
40113393,USA,Exchange Traded Funds,,
40113394,USA,Exchange Traded Funds,,
40113558,USA,Exchange Traded Funds,,
40113634,USA,Mutual Funds,,
40113737,USA,Mutual Funds,,
40113743,USA,Mutual Funds,,
40113749,USA,Mutual Funds,,
40113778,USA,Exchange Traded Funds,,
40004068,USA,Exchange Traded Funds,,
40008772,USA,Exchange Traded Funds,,
40008770,USA,Exchange Traded Funds,,
40106522,USA,Exchange Traded Funds,,
40113822,USA,Exchange Traded Funds,,
40113823,USA,Exchange Traded Funds,,
40113825,USA,Exchange Traded Funds,,
40113828,USA,Exchange Traded Funds,,
40113829,USA,Exchange Traded Funds,,
40113955,USA,Exchange Traded Funds,,
40113957,USA,Exchange Traded Funds,,
40113958,USA,Exchange Traded Funds,,
40113959,USA,Exchange Traded Funds,,
40113960,USA,Exchange Traded Funds,,
40113961,USA,Exchange Traded Funds,,
40113963,USA,Exchange Traded Funds,,
40114010,USA,Mutual Funds,,
40114111,USA,Exchange Traded Funds,,
40114117,USA,Exchange Traded Funds,,
40114133,USA,Exchange Traded Funds,,
40114464,USA,Exchange Traded Funds,,
40114465,USA,Exchange Traded Funds,,
40114466,USA,Exchange Traded Funds,,
40114477,USA,Exchange Traded Funds,,
40114478,USA,Exchange Traded Funds,,
40114659,USA,Exchange Traded Funds,,
40114815,USA,Exchange Traded Funds,,
40114818,USA,Exchange Traded Funds,,
40114867,USA,Mutual Funds,,
40114884,USA,Exchange Traded Funds,,
40114958,USA,Exchange Traded Funds,,
40114959,USA,Exchange Traded Funds,,
40114960,USA,Exchange Traded Funds,,
40114961,USA,Exchange Traded Funds,,
40114962,USA,Exchange Traded Funds,,
40114963,USA,Exchange Traded Funds,,
40114964,USA,Exchange Traded Funds,,
40114965,USA,Exchange Traded Funds,,
40114966,USA,Exchange Traded Funds,,
40114967,USA,Exchange Traded Funds,,
40114968,USA,Exchange Traded Funds,,
40114969,USA,Exchange Traded Funds,,
40114970,USA,Exchange Traded Funds,,
40114972,USA,Exchange Traded Funds,,
40114973,USA,Exchange Traded Funds,,
40114974,USA,Exchange Traded Funds,,
40114975,USA,Exchange Traded Funds,,
40114976,USA,Exchange Traded Funds,,
40114977,USA,Exchange Traded Funds,,
40114978,USA,Exchange Traded Funds,,
40114992,USA,Exchange Traded Funds,,
40114993,USA,Exchange Traded Funds,,
40114994,USA,Exchange Traded Funds,,
40115070,USA,Exchange Traded Funds,,
40115071,USA,Exchange Traded Funds,,
40115081,USA,Insurance Funds,,
40115299,USA,Mutual Funds,,
40115465,USA,Exchange Traded Funds,,
40115466,USA,Exchange Traded Funds,,
40115467,USA,Exchange Traded Funds,,
40115468,USA,Exchange Traded Funds,,
40115515,USA,Exchange Traded Funds,,
40115563,USA,Exchange Traded Funds,,
40115632,USA,Mutual Funds,,
40115675,USA,Exchange Traded Funds,,
40115679,USA,Exchange Traded Funds,,
40115680,USA,Exchange Traded Funds,,
40115681,USA,Exchange Traded Funds,,
40115682,USA,Exchange Traded Funds,,
