primary_code,t_date,fund size
60095863,10/31/2019,1232899300
60095899,10/31/2019,1605577571
60096717,10/31/2019,2355986188
60096934,10/31/2019,289676271
60097512,10/31/2019,908733600
60097530,10/31/2019,362270294
60097538,10/31/2019,1303889400
60098709,10/31/2019,216497110
60098835,10/31/2019,255552925
60099782,10/31/2019,851102482
60100265,10/31/2019,89734269
60100575,10/31/2019,819659429
60100596,10/31/2019,107658273
60100735,10/31/2019,919613078
60101101,10/31/2019,155327600
60101102,10/31/2019,139499500
60101103,10/31/2019,131202900
60101388,10/31/2019,224755364
60101389,10/31/2019,249656037
60101787,10/31/2019,376433011
60101788,10/31/2019,575743600
60101789,10/31/2019,110393925
61500928,10/31/2019,6107891
61501134,10/31/2019,4257296
63500259,10/31/2019,16168074
63500260,10/31/2019,9198337
63500269,10/31/2019,92502708
63500270,10/31/2019,143071448
63500271,10/31/2019,87091805
63500272,10/31/2019,285113585
63500273,10/31/2019,120837253
63500278,10/31/2019,15476855
63500279,10/31/2019,8214184
63500280,10/31/2019,69668555
63500287,10/31/2019,194785185
63500307,10/31/2019,20825655
63500322,10/31/2019,49267592
63500328,10/31/2019,23272439
63500337,10/31/2019,9377968
63500341,10/31/2019,12571027
63500343,10/31/2019,246747039
63500346,10/31/2019,7669133
63500347,10/31/2019,11322939
63500348,10/31/2019,1276848969
63500361,10/31/2019,8526295
63500362,10/31/2019,45073350
63500369,10/31/2019,3884319
63500374,10/31/2019,29839103
63500378,10/31/2019,2073509554
63500389,10/31/2019,18748668
63500438,10/31/2019,12371402
63500469,10/31/2019,30683501
63500483,10/31/2019,110283844
63500485,10/31/2019,21919188
63500504,10/31/2019,8465280
63500510,10/31/2019,91509100
63500523,10/31/2019,16757841
63500524,10/31/2019,57932412
63500559,10/31/2019,20810405
63500585,10/31/2019,92518613
63500595,10/31/2019,35507360
63500596,10/31/2019,100835865
63500598,10/31/2019,7849672
63500603,10/31/2019,58598684
63500619,10/31/2019,66999320
63500632,10/31/2019,32605924
63500634,10/31/2019,19126990
63500644,10/31/2019,50533601
63500654,10/31/2019,54050359
63500655,10/31/2019,5880410
63500762,10/31/2019,53214812
63500764,10/31/2019,4242595
63500787,10/31/2019,297388317
63500788,10/31/2019,11626904
63500791,10/31/2019,13225683
63500797,10/31/2019,50524682
63500806,10/31/2019,47127634
63500812,10/31/2019,24317567
63500817,10/31/2019,22388157
63500821,10/31/2019,61723770
63500855,10/31/2019,11865026
63500866,10/31/2019,15841145
63500891,10/31/2019,70352438
63500908,10/31/2019,37496859
63500922,10/31/2019,308799400
63500923,10/31/2019,785138900
63500928,10/31/2019,647164700
63500973,10/31/2019,73657426
63500985,10/31/2019,27410177
63501050,10/31/2019,21158136
63501052,10/31/2019,27931738
63501062,10/31/2019,24042087
63501069,10/31/2019,12677173
63501071,10/31/2019,335080200
63501084,10/31/2019,42884730
63501115,10/31/2019,36410219
63501125,10/31/2019,130182037
63501126,10/31/2019,21919207
63501130,10/31/2019,164891368
65004461,10/31/2019,751359622
65006550,10/31/2019,306655696
65006654,10/31/2019,1245168000
65006658,10/31/2019,448610100
65006669,10/31/2019,5129939070
65007540,10/31/2019,478146274
65007542,10/31/2019,217694900
65008839,10/31/2019,83309513
65008914,10/31/2019,27414445
65009044,10/31/2019,754100822
65010031,10/31/2019,7215246
65010294,10/31/2019,56355239
65010302,10/31/2019,2310915586
65010314,10/31/2019,75585700
65010320,10/31/2019,798026719
65010326,10/31/2019,673784855
65010332,10/31/2019,142223945
65010347,10/31/2019,339981098
65010488,10/31/2019,5124385187
65010893,10/31/2019,396004600
65011029,10/31/2019,1092045900
65012524,10/31/2019,1856909812
65012534,10/31/2019,181950759
65012549,10/31/2019,630058242
65012551,10/31/2019,597081769
65012560,10/31/2019,377529780
65012855,10/31/2019,3835821084
65012856,10/31/2019,14725871109
65012857,10/31/2019,1953095167
65012930,10/31/2019,449647233
65012982,10/31/2019,1002151432
65013140,10/31/2019,10478986
65013142,10/31/2019,19805614
65013143,10/31/2019,18088520
65013148,10/31/2019,83828871
65013149,10/31/2019,27418664
65013155,10/31/2019,10780303
65013156,10/31/2019,20995701
65013159,10/31/2019,232464498
65013167,10/31/2019,51427261
